"game_id","game_date","season"
"kansas-city-vs-portland-thorns-2015-08-12",2015-08-12,2015
"washington-spirit-vs-seattle-reign-2015-09-05",2015-09-05,2015
"kansas-city-vs-seattle-reign-2015-10-01",2015-10-01,2015
"chicago-red-stars-vs-kansas-city-2015-09-13",2015-09-13,2015
"sky-blue-vs-kansas-city-2015-09-02",2015-09-02,2015
"kansas-city-vs-washington-spirit-2015-08-27",2015-08-27,2015
"western-new-york-flash-vs-sky-blue-2015-07-19",2015-07-19,2015
"portland-thorns-vs-chicago-red-stars-2015-08-09",2015-08-09,2015
"chicago-red-stars-vs-kansas-city-2015-08-01",2015-08-01,2015
"washington-spirit-vs-sky-blue-2015-05-16",2015-05-16,2015
"kansas-city-vs-boston-breakers-2015-08-22",2015-08-22,2015
"kansas-city-vs-sky-blue-2015-04-12",2015-04-12,2015
"western-new-york-flash-vs-washington-spirit-2015-05-23",2015-05-23,2015
"houston-dash-vs-boston-breakers-2015-08-30",2015-08-30,2015
"chicago-red-stars-vs-washington-spirit-2015-08-16",2015-08-16,2015
"chicago-red-stars-vs-houston-dash-2015-09-06",2015-09-06,2015
"boston-breakers-vs-kansas-city-2015-07-09",2015-07-09,2015
"boston-breakers-vs-houston-dash-2015-04-26",2015-04-26,2015
"portland-thorns-vs-houston-dash-2015-05-23",2015-05-23,2015
"kansas-city-vs-western-new-york-flash-2015-05-14",2015-05-14,2015
"sky-blue-vs-washington-spirit-2015-04-26",2015-04-26,2015
"western-new-york-flash-vs-boston-breakers-2015-05-02",2015-05-02,2015
"chicago-red-stars-vs-boston-breakers-2015-05-09",2015-05-09,2015
"sky-blue-vs-seattle-reign-2015-05-09",2015-05-09,2015
"chicago-red-stars-vs-boston-breakers-2015-07-18",2015-07-18,2015
"western-new-york-flash-vs-chicago-red-stars-2015-06-06",2015-06-06,2015
"kansas-city-vs-western-new-york-flash-2015-08-08",2015-08-08,2015
"portland-thorns-vs-boston-breakers-2015-08-05",2015-08-05,2015
"boston-breakers-vs-kansas-city-2015-05-30",2015-05-30,2015
"seattle-reign-vs-chicago-red-stars-2015-05-30",2015-05-30,2015
"houston-dash-vs-chicago-red-stars-2015-05-15",2015-05-15,2015
"boston-breakers-vs-western-new-york-flash-2015-06-28",2015-06-28,2015
"sky-blue-vs-boston-breakers-2015-07-25",2015-07-25,2015
"portland-thorns-vs-seattle-reign-2015-07-22",2015-07-22,2015
"boston-breakers-vs-portland-thorns-2015-05-16",2015-05-16,2015
"portland-thorns-vs-washington-spirit-2015-08-30",2015-08-30,2015
"sky-blue-vs-portland-thorns-2015-08-22",2015-08-22,2015
"chicago-red-stars-vs-western-new-york-flash-2015-08-23",2015-08-23,2015
"seattle-reign-vs-boston-breakers-2015-08-26",2015-08-26,2015
"western-new-york-flash-vs-seattle-reign-2015-07-03",2015-07-03,2015
"seattle-reign-vs-sky-blue-2015-06-06",2015-06-06,2015
"houston-dash-vs-western-new-york-flash-2015-06-20",2015-06-20,2015
"portland-thorns-vs-kansas-city-2015-06-19",2015-06-19,2015
"western-new-york-flash-vs-chicago-red-stars-2015-08-29",2015-08-29,2015
"portland-thorns-vs-washington-spirit-2015-05-09",2015-05-09,2015
"washington-spirit-vs-chicago-red-stars-2015-07-25",2015-07-25,2015
"western-new-york-flash-vs-houston-dash-2015-07-25",2015-07-25,2015
"houston-dash-vs-seattle-reign-2015-08-21",2015-08-21,2015
"seattle-reign-vs-sky-blue-2015-08-29",2015-08-29,2015
"boston-breakers-vs-sky-blue-2015-05-22",2015-05-22,2015
"seattle-reign-vs-portland-thorns-2015-07-26",2015-07-26,2015
"sky-blue-vs-portland-thorns-2015-07-11",2015-07-11,2015
"chicago-red-stars-vs-sky-blue-2015-05-02",2015-05-02,2015
"seattle-reign-vs-washington-spirit-2015-09-13",2015-09-13,2015
"portland-thorns-vs-boston-breakers-2015-04-11",2015-04-11,2015
"seattle-reign-vs-houston-dash-2015-08-12",2015-08-12,2015
"western-new-york-flash-vs-portland-thorns-2015-09-04",2015-09-04,2015
"washington-spirit-vs-boston-breakers-2015-06-06",2015-06-06,2015
"western-new-york-flash-vs-kansas-city-2015-05-08",2015-05-08,2015
"boston-breakers-vs-seattle-reign-2015-08-01",2015-08-01,2015
"boston-breakers-vs-seattle-reign-2015-06-21",2015-06-21,2015
"seattle-reign-vs-washington-spirit-2015-05-02",2015-05-02,2015
"houston-dash-vs-kansas-city-2015-05-02",2015-05-02,2015
"houston-dash-vs-washington-spirit-2015-04-10",2015-04-10,2015
"houston-dash-vs-chicago-red-stars-2015-07-12",2015-07-12,2015
"sky-blue-vs-houston-dash-2015-04-18",2015-04-18,2015
"houston-dash-vs-kansas-city-2015-07-29",2015-07-29,2015
"boston-breakers-vs-chicago-red-stars-2015-07-22",2015-07-22,2015
"portland-thorns-vs-western-new-york-flash-2015-04-18",2015-04-18,2015
"houston-dash-vs-portland-thorns-2015-06-06",2015-06-06,2015
"seattle-reign-vs-kansas-city-2015-06-27",2015-06-27,2015
"washington-spirit-vs-houston-dash-2015-06-27",2015-06-27,2015
"kansas-city-vs-chicago-red-stars-2015-05-23",2015-05-23,2015
"kansas-city-vs-seattle-reign-2015-04-23",2015-04-23,2015
"chicago-red-stars-vs-portland-thorns-2015-04-25",2015-04-25,2015
"seattle-reign-vs-western-new-york-flash-2015-04-12",2015-04-12,2015
"chicago-red-stars-vs-seattle-reign-2015-04-18",2015-04-18,2015
"washington-spirit-vs-seattle-reign-2015-07-18",2015-07-18,2015
"kansas-city-vs-houston-dash-2015-07-20",2015-07-20,2015
"boston-breakers-vs-washington-spirit-2015-08-08",2015-08-08,2015
"sky-blue-vs-western-new-york-flash-2015-08-01",2015-08-01,2015
"seattle-reign-vs-western-new-york-flash-2015-07-11",2015-07-11,2015
"kansas-city-vs-washington-spirit-2015-07-03",2015-07-03,2015
"washington-spirit-vs-western-new-york-flash-2015-08-12",2015-08-12,2015
"western-new-york-flash-vs-portland-thorns-2015-07-29",2015-07-29,2015
"chicago-red-stars-vs-sky-blue-2015-08-12",2015-08-12,2015
"washington-spirit-vs-kansas-city-2015-04-18",2015-04-18,2015
"washington-spirit-vs-portland-thorns-2015-05-30",2015-05-30,2015
"washington-spirit-vs-houston-dash-2015-08-01",2015-08-01,2015
"sky-blue-vs-chicago-red-stars-2015-06-28",2015-06-28,2015
"portland-thorns-vs-sky-blue-2015-07-03",2015-07-03,2015
"houston-dash-vs-sky-blue-2015-08-07",2015-08-07,2015
"sky-blue-vs-houston-dash-2015-05-31",2015-05-31,2015
"portland-thorns-vs-houston-dash-2016-09-07",2016-09-07,2016
"western-new-york-flash-vs-kansas-city-2016-07-23",2016-07-23,2016
"western-new-york-flash-vs-houston-dash-2016-08-27",2016-08-27,2016
"seattle-reign-vs-western-new-york-flash-2016-07-16",2016-07-16,2016
"houston-dash-vs-washington-spirit-2016-08-18",2016-08-18,2016
"portland-thorns-vs-seattle-reign-2016-07-30",2016-07-30,2016
"portland-thorns-vs-washington-spirit-2016-05-21",2016-05-21,2016
"washington-spirit-vs-portland-thorns-2016-05-07",2016-05-07,2016
"kansas-city-vs-boston-breakers-2016-08-28",2016-08-28,2016
"seattle-reign-vs-orlando-pride-2016-07-23",2016-07-23,2016
"washington-spirit-vs-chicago-red-stars-2016-09-30",2016-09-30,2016
"boston-breakers-vs-chicago-red-stars-2016-05-07",2016-05-07,2016
"boston-breakers-vs-orlando-pride-2016-07-31",2016-07-31,2016
"washington-spirit-vs-western-new-york-flash-2016-10-09",2016-10-09,2016
"sky-blue-vs-chicago-red-stars-2016-08-27",2016-08-27,2016
"chicago-red-stars-vs-boston-breakers-2016-06-18",2016-06-18,2016
"orlando-pride-vs-washington-spirit-2016-08-26",2016-08-26,2016
"washington-spirit-vs-chicago-red-stars-2016-07-09",2016-07-09,2016
"boston-breakers-vs-houston-dash-2016-08-31",2016-08-31,2016
"washington-spirit-vs-orlando-pride-2016-06-18",2016-06-18,2016
"houston-dash-vs-sky-blue-2016-04-29",2016-04-29,2016
"washington-spirit-vs-western-new-york-flash-2016-09-03",2016-09-03,2016
"boston-breakers-vs-sky-blue-2016-07-17",2016-07-17,2016
"seattle-reign-vs-houston-dash-2016-06-12",2016-06-12,2016
"western-new-york-flash-vs-portland-thorns-2016-06-17",2016-06-17,2016
"boston-breakers-vs-kansas-city-2016-05-22",2016-05-22,2016
"sky-blue-vs-seattle-reign-2016-06-19",2016-06-19,2016
"sky-blue-vs-orlando-pride-2016-09-07",2016-09-07,2016
"sky-blue-vs-washington-spirit-2016-04-24",2016-04-24,2016
"portland-thorns-vs-orlando-pride-2016-04-17",2016-04-17,2016
"portland-thorns-vs-western-new-york-flash-2016-09-11",2016-09-11,2016
"kansas-city-vs-western-new-york-flash-2016-04-16",2016-04-16,2016
"portland-thorns-vs-western-new-york-flash-2016-10-02",2016-10-02,2016
"kansas-city-vs-chicago-red-stars-2016-05-13",2016-05-13,2016
"boston-breakers-vs-portland-thorns-2016-05-01",2016-05-01,2016
"portland-thorns-vs-boston-breakers-2016-09-04",2016-09-04,2016
"houston-dash-vs-seattle-reign-2016-09-25",2016-09-25,2016
"kansas-city-vs-chicago-red-stars-2016-09-11",2016-09-11,2016
"sky-blue-vs-washington-spirit-2016-07-23",2016-07-23,2016
"seattle-reign-vs-kansas-city-2016-05-01",2016-05-01,2016
"houston-dash-vs-chicago-red-stars-2016-04-16",2016-04-16,2016
"seattle-reign-vs-portland-thorns-2016-05-14",2016-05-14,2016
"seattle-reign-vs-boston-breakers-2016-07-02",2016-07-02,2016
"washington-spirit-vs-boston-breakers-2016-04-16",2016-04-16,2016
"houston-dash-vs-orlando-pride-2016-05-20",2016-05-20,2016
"washington-spirit-vs-seattle-reign-2016-09-07",2016-09-07,2016
"orlando-pride-vs-western-new-york-flash-2016-05-14",2016-05-14,2016
"portland-thorns-vs-chicago-red-stars-2016-06-22",2016-06-22,2016
"chicago-red-stars-vs-western-new-york-flash-2016-04-23",2016-04-23,2016
"kansas-city-vs-houston-dash-2016-05-07",2016-05-07,2016
"orlando-pride-vs-houston-dash-2016-06-23",2016-06-23,2016
"houston-dash-vs-orlando-pride-2016-09-03",2016-09-03,2016
"sky-blue-vs-houston-dash-2016-07-09",2016-07-09,2016
"boston-breakers-vs-western-new-york-flash-2016-09-24",2016-09-24,2016
"boston-breakers-vs-western-new-york-flash-2016-09-07",2016-09-07,2016
"orlando-pride-vs-chicago-red-stars-2016-07-16",2016-07-16,2016
"houston-dash-vs-boston-breakers-2016-09-11",2016-09-11,2016
"boston-breakers-vs-seattle-reign-2016-04-24",2016-04-24,2016
"portland-thorns-vs-kansas-city-2016-07-09",2016-07-09,2016
"seattle-reign-vs-portland-thorns-2016-08-27",2016-08-27,2016
"seattle-reign-vs-washington-spirit-2016-09-11",2016-09-11,2016
"portland-thorns-vs-seattle-reign-2016-05-29",2016-05-29,2016
"chicago-red-stars-vs-kansas-city-2016-07-30",2016-07-30,2016
"chicago-red-stars-vs-sky-blue-2016-05-29",2016-05-29,2016
"houston-dash-vs-kansas-city-2016-06-19",2016-06-19,2016
"western-new-york-flash-vs-seattle-reign-2016-07-09",2016-07-09,2016
"chicago-red-stars-vs-kansas-city-2016-09-07",2016-09-07,2016
"kansas-city-vs-sky-blue-2016-09-04",2016-09-04,2016
"seattle-reign-vs-chicago-red-stars-2016-05-22",2016-05-22,2016
"houston-dash-vs-western-new-york-flash-2016-07-30",2016-07-30,2016
"orlando-pride-vs-kansas-city-2016-09-24",2016-09-24,2016
"chicago-red-stars-vs-washington-spirit-2016-09-24",2016-09-24,2016
"chicago-red-stars-vs-houston-dash-2016-07-23",2016-07-23,2016
"washington-spirit-vs-houston-dash-2016-05-14",2016-05-14,2016
"orlando-pride-vs-seattle-reign-2016-05-08",2016-05-08,2016
"orlando-pride-vs-sky-blue-2016-09-10",2016-09-10,2016
"western-new-york-flash-vs-boston-breakers-2016-06-24",2016-06-24,2016
"orlando-pride-vs-boston-breakers-2016-07-10",2016-07-10,2016
"sky-blue-vs-kansas-city-2016-06-11",2016-06-11,2016
"washington-spirit-vs-sky-blue-2016-06-25",2016-06-25,2016
"kansas-city-vs-seattle-reign-2016-06-25",2016-06-25,2016
"chicago-red-stars-vs-seattle-reign-2016-09-04",2016-09-04,2016
"western-new-york-flash-vs-sky-blue-2016-05-21",2016-05-21,2016
"western-new-york-flash-vs-chicago-red-stars-2016-07-01",2016-07-01,2016
"seattle-reign-vs-sky-blue-2016-04-17",2016-04-17,2016
"kansas-city-vs-orlando-pride-2016-05-28",2016-05-28,2016
"washington-spirit-vs-kansas-city-2016-07-02",2016-07-02,2016
"chicago-red-stars-vs-portland-thorns-2016-06-12",2016-06-12,2016
"western-new-york-flash-vs-washington-spirit-2016-04-29",2016-04-29,2016
"sky-blue-vs-boston-breakers-2016-05-13",2016-05-13,2016
"houston-dash-vs-portland-thorns-2016-07-16",2016-07-16,2016
"orlando-pride-vs-portland-thorns-2016-06-26",2016-06-26,2016
"sky-blue-vs-western-new-york-flash-2016-05-07",2016-05-07,2016
"orlando-pride-vs-houston-dash-2016-04-23",2016-04-23,2016
"chicago-red-stars-vs-orlando-pride-2016-05-01",2016-05-01,2016
"washington-spirit-vs-sky-blue-2016-07-31",2016-07-31,2016
"portland-thorns-vs-sky-blue-2016-07-02",2016-07-02,2016
"kansas-city-vs-portland-thorns-2016-04-23",2016-04-23,2016
"western-new-york-flash-vs-boston-breakers-2016-05-27",2016-05-27,2016
"sky-blue-vs-portland-thorns-2016-09-25",2016-09-25,2016
"boston-breakers-vs-washington-spirit-2016-06-10",2016-06-10,2016
"western-new-york-flash-vs-orlando-pride-2016-06-11",2016-06-11,2016
"kansas-city-vs-washington-spirit-2016-07-16",2016-07-16,2016
"washington-spirit-vs-seattle-reign-2017-09-30",2017-09-30,2017
"houston-dash-vs-chicago-red-stars-2017-09-23",2017-09-23,2017
"chicago-red-stars-vs-orlando-pride-2017-07-22",2017-07-22,2017
"portland-thorns-vs-chicago-red-stars-2017-09-30",2017-09-30,2017
"orlando-pride-vs-boston-breakers-2017-09-02",2017-09-02,2017
"north-carolina-courage-vs-houston-dash-2017-09-09",2017-09-09,2017
"seattle-reign-vs-kansas-city-2017-09-24",2017-09-24,2017
"portland-thorns-vs-washington-spirit-2017-09-02",2017-09-02,2017
"orlando-pride-vs-kansas-city-2017-07-15",2017-07-15,2017
"portland-thorns-vs-sky-blue-2017-06-17",2017-06-17,2017
"north-carolina-courage-vs-sky-blue-2017-07-01",2017-07-01,2017
"boston-breakers-vs-washington-spirit-2017-07-01",2017-07-01,2017
"seattle-reign-vs-houston-dash-2017-04-22",2017-04-22,2017
"chicago-red-stars-vs-washington-spirit-2017-06-17",2017-06-17,2017
"washington-spirit-vs-north-carolina-courage-2017-04-15",2017-04-15,2017
"north-carolina-courage-vs-boston-breakers-2017-06-17",2017-06-17,2017
"boston-breakers-vs-portland-thorns-2017-05-19",2017-05-19,2017
"portland-thorns-vs-orlando-pride-2017-04-15",2017-04-15,2017
"houston-dash-vs-seattle-reign-2017-05-27",2017-05-27,2017
"seattle-reign-vs-washington-spirit-2017-05-13",2017-05-13,2017
"seattle-reign-vs-portland-thorns-2017-07-01",2017-07-01,2017
"chicago-red-stars-vs-sky-blue-2017-06-25",2017-06-25,2017
"houston-dash-vs-boston-breakers-2017-06-28",2017-06-28,2017
"washington-spirit-vs-houston-dash-2017-04-29",2017-04-29,2017
"houston-dash-vs-chicago-red-stars-2017-04-15",2017-04-15,2017
"north-carolina-courage-vs-orlando-pride-2017-09-30",2017-09-30,2017
"washington-spirit-vs-north-carolina-courage-2017-08-30",2017-08-30,2017
"kansas-city-vs-north-carolina-courage-2017-08-10",2017-08-10,2017
"north-carolina-courage-vs-chicago-red-stars-2017-05-21",2017-05-21,2017
"seattle-reign-vs-north-carolina-courage-2017-08-13",2017-08-13,2017
"boston-breakers-vs-seattle-reign-2017-04-29",2017-04-29,2017
"north-carolina-courage-vs-chicago-red-stars-2017-10-08",2017-10-08,2017
"north-carolina-courage-vs-portland-thorns-2017-10-14",2017-10-14,2017
"boston-breakers-vs-kansas-city-2017-08-04",2017-08-04,2017
"houston-dash-vs-orlando-pride-2017-06-17",2017-06-17,2017
"sky-blue-vs-kansas-city-2017-04-30",2017-04-30,2017
"north-carolina-courage-vs-sky-blue-2017-05-24",2017-05-24,2017
"houston-dash-vs-sky-blue-2017-05-13",2017-05-13,2017
"seattle-reign-vs-sky-blue-2017-07-22",2017-07-22,2017
"orlando-pride-vs-houston-dash-2017-06-24",2017-06-24,2017
"boston-breakers-vs-orlando-pride-2017-08-19",2017-08-19,2017
"chicago-red-stars-vs-seattle-reign-2017-08-16",2017-08-16,2017
"portland-thorns-vs-boston-breakers-2017-05-27",2017-05-27,2017
"houston-dash-vs-portland-thorns-2017-07-08",2017-07-08,2017
"kansas-city-vs-orlando-pride-2017-05-07",2017-05-07,2017
"seattle-reign-vs-portland-thorns-2017-08-26",2017-08-26,2017
"orlando-pride-vs-chicago-red-stars-2017-08-05",2017-08-05,2017
"seattle-reign-vs-chicago-red-stars-2017-06-28",2017-06-28,2017
"sky-blue-vs-north-carolina-courage-2017-09-24",2017-09-24,2017
"kansas-city-vs-chicago-red-stars-2017-09-09",2017-09-09,2017
"seattle-reign-vs-orlando-pride-2017-05-21",2017-05-21,2017
"washington-spirit-vs-chicago-red-stars-2017-08-26",2017-08-26,2017
"sky-blue-vs-boston-breakers-2017-08-26",2017-08-26,2017
"houston-dash-vs-boston-breakers-2017-07-22",2017-07-22,2017
"boston-breakers-vs-sky-blue-2017-09-30",2017-09-30,2017
"kansas-city-vs-washington-spirit-2017-05-27",2017-05-27,2017
"portland-thorns-vs-houston-dash-2017-08-19",2017-08-19,2017
"chicago-red-stars-vs-kansas-city-2017-08-20",2017-08-20,2017
"orlando-pride-vs-washington-spirit-2017-08-08",2017-08-08,2017
"sky-blue-vs-houston-dash-2017-05-20",2017-05-20,2017
"washington-spirit-vs-kansas-city-2017-05-20",2017-05-20,2017
"north-carolina-courage-vs-orlando-pride-2017-04-29",2017-04-29,2017
"portland-thorns-vs-houston-dash-2017-08-05",2017-08-05,2017
"washington-spirit-vs-orlando-pride-2017-07-08",2017-07-08,2017
"chicago-red-stars-vs-boston-breakers-2017-05-14",2017-05-14,2017
"washington-spirit-vs-houston-dash-2017-06-03",2017-06-03,2017
"north-carolina-courage-vs-portland-thorns-2017-04-22",2017-04-22,2017
"portland-thorns-vs-orlando-pride-2017-10-07",2017-10-07,2017
"sky-blue-vs-orlando-pride-2017-06-28",2017-06-28,2017
"portland-thorns-vs-chicago-red-stars-2017-04-29",2017-04-29,2017
